attribute_index,attribute_name,attribute_family,eligible,observed_test,positives_test,negatives_test,native_target_ap_mean,aligned_source_ap_mean,unaligned_source_ap_mean,native_source_ap_mean,aligned_minus_native_target_ap
96,has_head_pattern::crested,has_head_pattern,True,5592,227,5365,0.23899160110086615,0.13078804127378113,0.062236932589114925,0.3670109652236436,-0.10820355982708502
97,has_head_pattern::masked,has_head_pattern,True,5592,252,5340,0.1207299876394202,0.08061868675702197,0.0379158785206208,0.1550396525659588,-0.040111300882398226
98,has_head_pattern::unique_pattern,has_head_pattern,True,5592,185,5407,0.1051507046591221,0.0576918806447471,0.03693495149917337,0.10211421225350895,-0.047458824014375005
99,has_head_pattern::eyebrow,has_head_pattern,True,5592,708,4884,0.3764616622517628,0.2521916120010615,0.1322006250132631,0.4203865668844536,-0.12427005025070131
100,has_head_pattern::eyering,has_head_pattern,True,5592,926,4666,0.2458764094288468,0.21132611028502643,0.19773524185277142,0.27229302702882147,-0.03455029914382038
101,has_head_pattern::plain,has_head_pattern,True,5592,1537,4055,0.5707101679158928,0.4806838868821249,0.30874989433377664,0.6169090508863778,-0.09002628103376792
102,has_head_pattern::eyeline,has_head_pattern,True,5592,670,4922,0.19129645314158533,0.13957204638999154,0.11999530436774601,0.24166124996052313,-0.05172440675159379
103,has_head_pattern::striped,has_head_pattern,True,5592,392,5200,0.2374667442069724,0.15515094560661422,0.06344235042836562,0.2707176527435712,-0.08231579860035818
104,has_head_pattern::capped,has_head_pattern,True,5592,668,4924,0.26361178176144695,0.13469024049585507,0.13459503535404976,0.30456796522239976,-0.12892154126559188
105,has_breast_color::blue,has_breast_color,True,5317,178,5139,0.599612263990823,0.3392699635734638,0.021129160410702008,0.5872193243071606,-0.26034230041735923
106,has_breast_color::brown,has_breast_color,True,5317,639,4678,0.39854736956753006,0.3532767267421141,0.12020428843454885,0.4190783105425414,-0.045270642825415985
107,has_breast_color::iridescent,has_breast_color,True,5317,90,5227,0.12312290391385065,0.11371217197466679,0.01968510706240911,0.13336147228682008,-0.009410731939183861
108,has_breast_color::purple,has_breast_color,False,5317,17,5300,,,,,
109,has_breast_color::rufous,has_breast_color,True,5317,77,5240,0.11137257983606756,0.06126047433221319,0.016627500204900815,0.1122936360005892,-0.05011210550385437
110,has_breast_color::grey,has_breast_color,True,5317,1084,4233,0.47002620730564093,0.37998267621367793,0.210637536718257,0.4907544535999886,-0.090043531091963
111,has_breast_color::yellow,has_breast_color,True,5317,794,4523,0.8419203977161459,0.6567490820310937,0.10323579058934285,0.8418444383637584,-0.18517131568505218
112,has_breast_color::olive,has_breast_color,True,5317,104,5213,0.2350572371272245,0.18295475852999377,0.026188198606839307,0.2895094928032576,-0.052102478597230745
113,has_breast_color::green,has_breast_color,True,5317,63,5254,0.1485258608081905,0.08828415803215145,0.014671055118202245,0.1368787766873455,-0.06024170277603905
114,has_breast_color::pink,has_breast_color,True,5317,25,5292,0.019525698768632464,0.010100306062734477,0.004195332495216658,0.009915918878062922,-0.009425392705897987
115,has_breast_color::orange,has_breast_color,True,5317,170,5147,0.2379192545493634,0.10416280533507352,0.04548803573019562,0.266181974173021,-0.1337564492142899
116,has_breast_color::black,has_breast_color,True,5317,1176,4141,0.6657868905985551,0.5808606745907027,0.22749630695280518,0.6895305369505426,-0.08492621600785244
117,has_breast_color::white,has_breast_color,True,5317,2080,3237,0.7562111424082698,0.6972047861678836,0.4493716904399311,0.7727689979504349,-0.05900635624038619
118,has_breast_color::red,has_breast_color,True,5317,233,5084,0.6941728859746468,0.4363164167366581,0.07997229115997505,0.7057975416522398,-0.25785646923798866
119,has_breast_color::buff,has_breast_color,True,5317,996,4321,0.5304567584110946,0.45514106687483996,0.1644151022992161,0.5339304064396199,-0.07531569153625467
120,has_throat_color::blue,has_throat_color,True,5522,182,5340,0.5670401458236446,0.3283698515393783,0.021282690216376132,0.6123068000892807,-0.23867029428426628
121,has_throat_color::brown,has_throat_color,True,5522,476,5046,0.30280914531625214,0.2680704489246916,0.08493624583325328,0.36143640279491207,-0.03473869639156052
122,has_throat_color::iridescent,has_throat_color,True,5522,88,5434,0.1390212406932742,0.12845241458591833,0.014460395837471102,0.14419914653389304,-0.010568826107355878
123,has_throat_color::purple,has_throat_color,True,5522,28,5494,0.024705390688155075,0.018884908309299394,0.010591053256701854,0.018264697415483987,-0.005820482378855681
124,has_throat_color::rufous,has_throat_color,True,5522,74,5448,0.135719261302719,0.06029926621343058,0.012700981429351313,0.1675658248441509,-0.07541999508928841
125,has_throat_color::grey,has_throat_color,True,5522,992,4530,0.42998336459841424,0.369307865915039,0.16572675195706948,0.46309663019683284,-0.06067549868337524
126,has_throat_color::yellow,has_throat_color,True,5522,653,4869,0.802881026563375,0.5521166563517956,0.09242218752522072,0.8147439773681002,-0.2507643702115794
127,has_throat_color::olive,has_throat_color,True,5522,88,5434,0.25256888589543547,0.15269446132878067,0.02085525432308153,0.2372411756710894,-0.0998744245666548
128,has_throat_color::green,has_throat_color,True,5522,60,5462,0.21767211476790632,0.13593906125040164,0.011784594830606484,0.23574913003374315,-0.08173305351750468
129,has_throat_color::pink,has_throat_color,True,5522,26,5496,0.05574255786658324,0.01456856048112005,0.003827610336579212,0.04248752545553666,-0.04117399738546319
